['harsumit', 'EzypoIiorz', '0-1, EzypoIiorz won on time', '2025.01.08', 'Italian Game: Two Knights Defense, Knight Attack', None]
['EzypoIiorz', 'gaurav_silamwar', '1-0, EzypoIiorz won by resignation', '2025.01.08', 'Alekhine Defense: Scandinavian Variation', None]
['EzypoIiorz', 'Diplom4tic', '0-1, Diplom4tic won by checkmate', '2025.01.08', 'Vienna Game: Anderssen Defense', None]
['vijayanand7011', 'EzypoIiorz', '0-1, EzypoIiorz won - game abandoned', '2025.01.08', 'Mieses Opening', None]
['nishuxsensai', 'EzypoIiorz', '1/2-1/2, Game drawn by insufficient material', '2025.01.08', 'Rapport-Jobava System', None]
['EzypoIiorz', 'neohysteri', '0-1, neohysteri won by resignation', '2025.01.08', 'Pirc Defense', None]
['EzypoIiorz', 'abdurakhimovv_17', '0-1, abdurakhimovv_17 won by checkmate', '2025.01.08', 'Vienna Game', None]
['Karamellato', 'EzypoIiorz', '0-1, EzypoIiorz won on time', '2025.01.08', "Queen's Pawn Game: Mason Attack", None]
['Alkingsss', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2025.01.08', 'Center Game', None]
['EzypoIiorz', 'petiotine', '1/2-1/2, Game drawn by stalemate', '2025.01.08', 'Caro-Kann Defense', None]
['EzypoIiorz', 'Matchas111', '0-1, Matchas111 won by resignation', '2025.01.08', 'Vienna Game: Max Lange Defense', None]
['basettabz', 'EzypoIiorz', '0-1, EzypoIiorz won - game abandoned', '2025.01.08', 'Center Game', None]
['EzypoIiorz', 'Gasya90', '0-1, Gasya90 won by resignation', '2025.01.09', "French Defense: Queen's Knight", None]
['EzypoIiorz', 'bodmoss45', '1-0, EzypoIiorz won by checkmate', '2025.01.09', 'Vienna Game: Max Lange Defense', None]
['lincysm', 'EzypoIiorz', '0-1, EzypoIiorz won on time', '2025.01.09', 'Amsterdam Attack', None]
['jawedbd', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2025.01.09', "Queen's Pawn Game: Accelerated London System", None]
['EzypoIiorz', 'alifalmhamud007', '1-0, EzypoIiorz won by resignation', '2025.01.09', 'Vienna Game: Max Lange Defense', None]
['EzypoIiorz', 'abdel_DMH', '0-1, abdel_DMH won by checkmate', '2025.01.09', 'Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Retreat Line', None]
['advityans', 'EzypoIiorz', '1-0, advityans won by resignation', '2025.01.09', 'Italian Game: Two Knights Defense, Knight Attack', None]
['EzypoIiorz', 'moshe8143', '1-0, EzypoIiorz won by checkmate', '2025.01.09', 'Vienna Game: Zhuravlev Countergambit', None]
['gabrielstahl', 'EzypoIiorz', '0-1, EzypoIiorz won by checkmate', '2025.01.09', "King's Pawn Game: King's Head Opening", None]
['EzypoIiorz', 'gabrielstahl', '1-0, EzypoIiorz won by checkmate', '2025.01.09', "King's Pawn Game", None]
['EzypoIiorz', 'golrbana', '1-0, EzypoIiorz won by resignation', '2025.01.09', 'Vienna Game: Max Lange Defense', None]
['xcskies', 'EzypoIiorz', '0-1, EzypoIiorz won by resignation', '2025.01.09', 'Scotch Game', None]
['EzypoIiorz', 'zeyadelnagar10', '0-1, zeyadelnagar10 won by checkmate', '2025.01.09', 'Vienna Game: Max Lange Defense', None]
['PAVEL2I37', 'EzypoIiorz', '1-0, PAVEL2I37 won by resignation', '2025.01.09', "King's Gambit Declined: Classical, Svenonius Variation", None]
['PoppyPoppyPoppyPoppy', 'EzypoIiorz', '1-0, PoppyPoppyPoppyPoppy won by checkmate', '2025.01.09', "Queen's Pawn Game: London System", None]
['EzypoIiorz', 'gabrielstahl', '1-0, EzypoIiorz won on time', '2025.01.09', 'Caro-Kann Defense', None]
['EzypoIiorz', 'gabrielstahl', '1-0, EzypoIiorz won by checkmate', '2025.01.09', 'Owen Defense', None]
['techyspy', 'EzypoIiorz', '1-0, techyspy won by checkmate', '2025.01.10', 'Italian Game: Two Knights Defense, Knight Attack', None]
['EzypoIiorz', 'Amrr_7', '1-0, EzypoIiorz won by checkmate', '2025.01.10', 'French Defense: Pelikan Variation', None]
['ReneKoudy', 'EzypoIiorz', '1-0, ReneKoudy won by checkmate', '2025.01.10', 'Four Knights Game', None]
['EzypoIiorz', 'nabihhabib', '0-1, nabihhabib won by resignation', '2025.01.10', 'Vienna Game: Falkbeer Variation', None]
['EzypoIiorz', 'Wreskidd777', '1-0, EzypoIiorz won by checkmate', '2025.01.10', 'Vienna Game: Max Lange Defense', None]
['flash_fire26', 'EzypoIiorz', '0-1, EzypoIiorz won - game abandoned', '2025.01.10', 'Four Knights Game', None]
